# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.609665287315844087e-02,8.390033098999979400e-01,7.796963533091781917e-01,1.182001497819900881e-01,1.065526026679328164e-02,1.109312647672778063e+01,1.872009062388073630e+01,1.408335749438356110e+01
1.615856542201278903e-02,8.389195422739771368e-01,7.793005417549444536e-01,1.184290118335341591e-01,1.067493397171399502e-02,1.109412125146090133e+01,1.871922484412847965e+01,1.408433138037086430e+01
1.622071610507652001e-02,8.388356324546654141e-01,7.789040762339050072e-01,1.186583199355857460e-01,1.069464251866138887e-02,1.109511792736741320e+01,1.871835740619793853e+01,1.408530709495459021e+01
1.628310583828513833e-02,8.387515802447702562e-01,7.785069559045302290e-01,1.188880749668775050e-01,1.071438596393470798e-02,1.109611650794195548e+01,1.871748830700011723e+01,1.408628464136712211e+01
1.634573554109710822e-02,8.386673854469354206e-01,7.781091799253007091e-01,1.191182778078981874e-01,1.073416436390525926e-02,1.109711699668450713e+01,1.871661754344093254e+01,1.408726402284521839e+01
1.640860613650740873e-02,8.385830478637397167e-01,7.777107474547145793e-01,1.193489293408964147e-01,1.075397777501644302e-02,1.109811939710038509e+01,1.871574511242126349e+01,1.408824524263002154e+01
1.647171855106113053e-02,8.384985672977014470e-01,7.773116576512929532e-01,1.195800304498840644e-01,1.077382625378379803e-02,1.109912371270023179e+01,1.871487101083689808e+01,1.408922830396701542e+01
1.653507371486715588e-02,8.384139435512756311e-01,7.769119096735874752e-01,1.198115820206398507e-01,1.079370985679502931e-02,1.110012994700002409e+01,1.871399523557856170e+01,1.409021321010605377e+01
1.659867256161181442e-02,8.383291764268596680e-01,7.765115026801860942e-01,1.200435849407128913e-01,1.081362864071000809e-02,1.110113810352109454e+01,1.871311778353195265e+01,1.409119996430137078e+01
1.666251602857268463e-02,8.382442657267918928e-01,7.761104358297201689e-01,1.202760400994262596e-01,1.083358266226086032e-02,1.110214818579007812e+01,1.871223865157763555e+01,1.409218856981152257e+01
1.672660505663240219e-02,8.381592112533517991e-01,7.757087082808711287e-01,1.205089483878806489e-01,1.085357197825195449e-02,1.110316019733896553e+01,1.871135783659111951e+01,1.409317902989943860e+01
1.679094059029251004e-02,8.380740128087648122e-01,7.753063191923769137e-01,1.207423106989578276e-01,1.087359664555993984e-02,1.110417414170508366e+01,1.871047533544286523e+01,1.409417134783239334e+01
1.685552357768738130e-02,8.379886701952011796e-01,7.749032677230388577e-01,1.209761279273242479e-01,1.089365672113379833e-02,1.110519002243107245e+01,1.870959114499821396e+01,1.409516552688199198e+01
1.692035497059822535e-02,8.379031832147767478e-01,7.744995530317284604e-01,1.212104009694348755e-01,1.091375226199487250e-02,1.110620784306491338e+01,1.870870526211741947e+01,1.409616157032417760e+01
1.698543572446705591e-02,8.378175516695558489e-01,7.740951742773943822e-01,1.214451307235363819e-01,1.093388332523685322e-02,1.110722760715992763e+01,1.870781768365570485e+01,1.409715948143924535e+01
1.705076679841082549e-02,8.377317753615531881e-01,7.736901306190686611e-01,1.216803180896710579e-01,1.095404996802588210e-02,1.110824931827475126e+01,1.870692840646313826e+01,1.409815926351179804e+01
1.711634915523551834e-02,8.376458540927315122e-01,7.732844212158747066e-01,1.219159639696803799e-01,1.097425224760052546e-02,1.110927297997335472e+01,1.870603742738472519e+01,1.409916091983077102e+01
1.718218376145037515e-02,8.375597876650079376e-01,7.728780452270332946e-01,1.221520692672085490e-01,1.099449022127182637e-02,1.111029859582504464e+01,1.870514474326040144e+01,1.410016445368942684e+01
1.724827158728210047e-02,8.374735758802503982e-01,7.724710018118697841e-01,1.223886348877061686e-01,1.101476394642333760e-02,1.111132616940444073e+01,1.870425035092497623e+01,1.410116986838532505e+01
